Country Name,Country Code,Indicator Name,Indicator Code,1960,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,5581.568752,6629.750304,8127.442822,9561.965478,10405.61816,11505.07919,12204.47259,13280.677,14813.77597,15093.32986,15252.13477,16321.16791,17483.80306,17329.37433,18604.83444,18128.18247,17676.12122,19169.39443,20771.10942,17354.65594,22021.67032,20791.85527,24816.24238,22257.05876,20513.79295,20830.50178,21813.9718,22115.61421,23111.23222,24093.58264,24018.87842,24457.60227,24859.52544,26702.13216,20971.43809,24994.77299,
Africa Eastern and Southern,AFE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,558.963075,507.6965336,537.0880424,484.5114442,383.4655274,411.2734633,495.2317126,522.6198078,532.4620453,574.0670293,599.4854106,579.8672774,562.6760734,555.7614339,613.9733943,604.629549,621.7077087,570.6767687,553.9627156,578.0326038,500.4207343,495.2977037,653.6583077,796.3206597,890.1511712,949.6306939,1013.468664,991.8103007,1082.325715,1236.199036,1340.138893,1343.047956,1327.021073,1343.347342,1236.498033,1167.651297,1313.117754,1257.046421,1228.514026,1113.051649,1232.351821,
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,155.0878754,158.3255324,134.7409283,141.9548546,171.6177272,182.3801172,192.4779038,218.1105075,239.4712482,266.963241,271.9185363,292.124775,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.6013547,506.922384,568.5774105,607.6121178,598.8995846,577.2601844,550.24136,485.7922294,498.0412212,467.2860344,469.4777601,476.8990597,339.6821144,
Africa Western and Central,AFW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,196.8989972,139.4013192,163.3321127,195.099633,242.7950968,292.3428943,351.0220428,349.5438948,382.7546943,393.1395168,516.647301,1110.710291,976.5617813,688.1306161,544.7630595,532.6279008,492.8683247,478.2702187,471.6983842,393.4738429,445.7217725,439.9690721,425.8210873,336.7838193,288.7101903,354.66466,383.1729129,380.8183617,394.8787564,413.6977053,365.4753321,397.2041004,476.4022202,528.9340579,627.7589558,729.7473539,972.9953665,1096.522059,1284.382121,1164.60127,1278.34305,1375.459053,1484.196867,1679.965667,1838.464813,1589.531108,1397.76426,1316.04352,1412.503047,1440.32786,1399.15198,1415.982509,
Angola,AGO,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,545.2343647,559.8758088,485.0839866,458.6015193,664.8984156,562.5444841,684.866584,75.21965293,88.78240309,15.48451005,181.0514879,208.4787472,265.6306186,252.983344,164.2628003,198.9618054,251.3980324,547.3541683,653.3499891,772.3843393,1010.978221,1367.003533,1469.135354,1509.092821,1862.567788,1869.182816,2459.515404,2864.093619,3187.601761,3490.921523,2374.531996,1207.215215,1501.637531,1507.863453,1328.708143,1100.962834,1232.948233,
Albania,ALB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,511.604864,511.1375156,571.5454314,550.3898885,520.8048564,560.4326684,491.2078281,250.8831676,136.0545678,316.1284321,508.9523164,669.0436495,914.5730379,643.2158946,749.0727864,949.0971593,1038.956686,1186.743383,1308.216552,1699.392489,2171.04442,2437.80155,2742.933611,3229.977202,3830.340927,3517.609153,3509.842739,3753.965485,3522.372857,3757.696946,3844.277141,3277.788243,3467.34757,3729.968219,4340.919854,4361.999293,4322.549675,5262.913596,
Andorra,AND,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,1380.673733,1504.321864,1510.511034,1401.462284,1362.063554,1315.013719,1289.744644,1300.847644,1282.647711,1285.544578,1691.014706,1629.891958,1756.391102,1716.509305,1698.865133,1837.422406,1940.299856,2067.821119,2007.818215,2144.44422,2313.954998,2256.714949,2241.373363,2377.709355,2730.927002,3183.698077,3720.076481,4276.966703,5143.976409,4583.990711,5190.186468,5347.506766,5798.682598,5843.977197,5905.965694,5267.248712,5191.447111,5195.309558,5369.815805,5335.080583,4775.067702,,
United Arab Emirates,ARE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29091.2777,27748.86627,26933.27256,28612.65953,32571.26017,35772.77243,38567.60101,38298.29043,38058.27567,27082.11497,30466.45254,35985.48223,39212.05107,40608.35506,41970.94538,38036.4173,37885.64221,39650.73806,42283.67914,41217.32531,34318.67722,,
